Datetime,CAISO_MW
1/1/2016 0:00,23296
1/1/2016 1:00,23419
1/1/2016 2:00,22654
1/1/2016 3:00,22039
1/1/2016 4:00,21705
1/1/2016 5:00,21707
1/1/2016 6:00,22105
1/1/2016 7:00,22616
1/1/2016 8:00,22721
1/1/2016 9:00,22764
1/1/2016 10:00,22947
1/1/2016 11:00,23081
1/1/2016 12:00,22693
1/1/2016 13:00,22340
1/1/2016 14:00,22040
1/1/2016 15:00,22143
1/1/2016 16:00,22141
1/1/2016 17:00,23085
1/1/2016 18:00,26314
1/1/2016 19:00,27157
1/1/2016 20:00,26977
1/1/2016 21:00,26558
1/1/2016 22:00,25715
1/1/2016 23:00,24538
1/2/2016 0:00,23273
1/2/2016 1:00,22270
1/2/2016 2:00,21445
1/2/2016 3:00,20950
1/2/2016 4:00,20738
1/2/2016 5:00,20916
1/2/2016 6:00,21468
1/2/2016 7:00,22294
1/2/2016 8:00,22968
1/2/2016 9:00,23624
1/2/2016 10:00,24039
1/2/2016 11:00,23832
1/2/2016 12:00,23322
1/2/2016 13:00,22978
1/2/2016 14:00,23002
1/2/2016 15:00,23006
1/2/2016 16:00,22940
1/2/2016 17:00,23746
1/2/2016 18:00,26670
1/2/2016 19:00,27361
1/2/2016 20:00,27101
1/2/2016 21:00,26615
1/2/2016 22:00,25727
1/2/2016 23:00,24486
1/3/2016 0:00,22361
1/3/2016 1:00,22084
1/3/2016 2:00,21116
1/3/2016 3:00,20514
1/3/2016 4:00,20248
1/3/2016 5:00,20318
1/3/2016 6:00,20768
1/3/2016 7:00,21588
1/3/2016 8:00,22027
1/3/2016 9:00,22248
1/3/2016 10:00,22486
1/3/2016 11:00,22476
1/3/2016 12:00,22344
1/3/2016 13:00,22313
1/3/2016 14:00,22351
1/3/2016 15:00,22556
1/3/2016 16:00,22738
1/3/2016 17:00,23700
1/3/2016 18:00,26887
1/3/2016 19:00,27597
1/3/2016 20:00,27356
1/3/2016 21:00,26690
1/3/2016 22:00,25389
1/3/2016 23:00,23753
1/4/2016 0:00,22446
1/4/2016 1:00,21134
1/4/2016 2:00,20325
1/4/2016 3:00,19844
1/4/2016 4:00,19809
1/4/2016 5:00,20344
1/4/2016 6:00,21885
1/4/2016 7:00,24321
1/4/2016 8:00,25930
1/4/2016 9:00,26372
1/4/2016 10:00,26526
1/4/2016 11:00,26447
1/4/2016 12:00,26160
1/4/2016 13:00,26025
1/4/2016 14:00,26017
1/4/2016 15:00,25900
1/4/2016 16:00,25761
1/4/2016 17:00,26532
1/4/2016 18:00,29067
1/4/2016 19:00,29539
1/4/2016 20:00,29047
1/4/2016 21:00,28096
1/4/2016 22:00,26575
1/4/2016 23:00,24516
1/5/2016 0:00,23353
1/5/2016 1:00,21007
1/5/2016 2:00,20198
1/5/2016 3:00,19739
1/5/2016 4:00,19609
1/5/2016 5:00,20103
1/5/2016 6:00,21588
1/5/2016 7:00,24118
1/5/2016 8:00,26007
1/5/2016 9:00,26875
1/5/2016 10:00,27613
1/5/2016 11:00,28097
1/5/2016 12:00,28170
1/5/2016 13:00,28172
1/5/2016 14:00,27994
1/5/2016 15:00,27524
1/5/2016 16:00,27127
1/5/2016 17:00,27681
1/5/2016 18:00,29827
1/5/2016 19:00,30369
1/5/2016 20:00,29800
1/5/2016 21:00,28961
1/5/2016 22:00,27317
1/5/2016 23:00,25229
1/6/2016 0:00,23520
1/6/2016 1:00,22005
1/6/2016 2:00,21013
1/6/2016 3:00,20500
1/6/2016 4:00,20388
1/6/2016 5:00,20936
1/6/2016 6:00,22575
1/6/2016 7:00,24943
1/6/2016 8:00,26636
1/6/2016 9:00,27159
1/6/2016 10:00,27447
1/6/2016 11:00,27648
1/6/2016 12:00,27942
1/6/2016 13:00,27956
1/6/2016 14:00,28008
1/6/2016 15:00,27851
1/6/2016 16:00,27854
1/6/2016 17:00,28414
1/6/2016 18:00,30367
1/6/2016 19:00,30710
1/6/2016 20:00,30084
1/6/2016 21:00,29271
1/6/2016 22:00,27715
1/6/2016 23:00,25643
1/7/2016 0:00,23934
1/7/2016 1:00,22111
1/7/2016 2:00,21434
1/7/2016 3:00,20975
1/7/2016 4:00,20805
1/7/2016 5:00,21316
1/7/2016 6:00,22798
1/7/2016 7:00,25359
1/7/2016 8:00,26812
1/7/2016 9:00,26866
1/7/2016 10:00,26787
1/7/2016 11:00,26742
1/7/2016 12:00,26499
1/7/2016 13:00,26483
1/7/2016 14:00,26248
1/7/2016 15:00,25905
1/7/2016 16:00,25866
1/7/2016 17:00,26656
1/7/2016 18:00,29331
1/7/2016 19:00,30143
1/7/2016 20:00,29631
1/7/2016 21:00,28946
1/7/2016 22:00,27633
1/7/2016 23:00,25674
1/8/2016 0:00,23639
1/8/2016 1:00,22572
1/8/2016 2:00,21722
1/8/2016 3:00,21208
1/8/2016 4:00,21210
1/8/2016 5:00,21756
1/8/2016 6:00,23266
1/8/2016 7:00,25961
1/8/2016 8:00,27379
1/8/2016 9:00,27433
1/8/2016 10:00,27131
1/8/2016 11:00,26862
1/8/2016 12:00,26415
1/8/2016 13:00,25739
1/8/2016 14:00,25152
1/8/2016 15:00,25289
1/8/2016 16:00,25714
1/8/2016 17:00,26348
1/8/2016 18:00,28826
1/8/2016 19:00,29270
1/8/2016 20:00,28791
1/8/2016 21:00,28146
1/8/2016 22:00,27141
1/8/2016 23:00,25449
1/9/2016 0:00,22324
1/9/2016 1:00,22201
1/9/2016 2:00,21265
1/9/2016 3:00,20733
1/9/2016 4:00,20671
1/9/2016 5:00,20848
1/9/2016 6:00,21454
1/9/2016 7:00,22543
1/9/2016 8:00,23179
1/9/2016 9:00,23902
1/9/2016 10:00,23885
1/9/2016 11:00,23873
1/9/2016 12:00,23665
1/9/2016 13:00,23732
1/9/2016 14:00,23772
1/9/2016 15:00,23777
1/9/2016 16:00,24055
1/9/2016 17:00,24900
1/9/2016 18:00,27148
1/9/2016 19:00,27503
1/9/2016 20:00,27097
1/9/2016 21:00,26532
1/9/2016 22:00,25581
1/9/2016 23:00,24063
1/10/2016 0:00,22136
1/10/2016 1:00,21058
1/10/2016 2:00,20237
1/10/2016 3:00,19598
1/10/2016 4:00,19298
